Type,ID,Title/Message,State,Author,Created At,Closed/Merged At,Labels/Files Changed,Commits,Additions,Deletions,Changed Files,All Checks Passed
Commit,cfd9818b4bb61dc9314a0daa1bcee919a4f1c15f,"Make ""g++ target query failed"" a FatalException.

closes https://github.com/glinscott/fishtest/pull/1134",,Michel Van den Bergh,2021-10-30 10:23:14,,worker/games.py,,,,,True
Commit,a09509c96b03b35d1575dcf35549e24e79ac5f30,"Show worker RAM in home and test pages

closes #1131",,ppigazzini,2021-10-30 08:43:12,,"server/fishtest/templates/machines_table.mak,server/fishtest/templates/tests_view.mak",,,,,True
Commit,f391986b886f28454092d1db612a24ab64786255,Raise worker version to 125 (also server side),,ppigazzini,2021-10-30 09:39:56,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,10b6ccb99c1e1d9e32c472882488e012328f5c9e,"Try to send errors after failure of the main make command.

Failure of the main make command happens surprisingly often.
Perhaps it will now be clearer why.

closes https://github.com/glinscott/fishtest/pull/1132",,Michel Van den Bergh,2021-10-30 06:38:03,,worker/games.py,,,,,True
Commit,ee61f8bc3ffe284d104fda41a49c6f0daa67c9bc,"Change 'Notes' to 'Info' in 'Create New Test'

Fix the label inconsistency with the test page.

Closes #274",,ppigazzini,2021-10-29 13:59:31,,server/fishtest/templates/tests_run.mak,,,,,True
Commit,d71ac34a70bf6741dd37f8ee656f72630b5df01e,Raise worker version to 124 (also server side),,ppigazzini,2021-10-28 09:28:09,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,df73d109d942f078d5e21917d7b1ad3d03db1e4e,"Small cosmetic tweaks in lock file handling.

(1) We make 'is_other_pid_valid()' generic (and rename it as
    'pid_valid()').
(2) As a consequence we move the printing of the error message
    to 'locked_by_others()'.
(3) We only check for staleness at the start of the worker.
    The reason is that if we decide that a lock file is stale we should
    create a new lock file with the correct PID. The start of the worker
    is the natural time to do this.
(4) We make the 'Worker stopped' message stand out a bit more.

closes https://github.com/glinscott/fishtest/pull/1129",,Michel Van den Bergh,2021-10-28 04:02:42,,worker/worker.py,,,,,True
Commit,89eeb922fd30aada130a78976f8364375e61bf78,Raise worker version to 123 (also server side),,ppigazzini,2021-10-27 21:03:43,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,dad498e93f9920c476f0c91db7fe665a573461e3,"Get the lock for invalid PID in lock file

Check if there is a ""worker.py"" process running with the PID
written in the lock file, in negative case get the lock.
This fix the cases of a left over lock file (pc crash, killed worker etc.)

Exit if the script file is not named ""worker.py""",,ppigazzini,2021-10-27 12:52:41,,worker/worker.py,,,,,True
Commit,a4bdbfd27778322ebb9938544397258953fd95b7,Raise worker version to 122 (also server side),,ppigazzini,2021-10-27 11:06:55,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,778cbbb33c150a20ae5547ab5e8f46b2d0788751,"A very primitive locking implementation.

We don't want two copies of the worker running in the
same directory.

The most natural way to achieve this would be to use a lock file.

Unfortunately Python doesn't have a cross platform file locking api.
So we just look for the existence of a lock file.
We do this when starting the worker (which is racy) and also
(as a fallback) before requesting a new task
(in that case we also check that the content of the lock file
is different from the current pid).",,Michel Van den Bergh,2021-10-26 20:36:57,,worker/worker.py,,,,,True
Commit,e8cee364523ccb6a2b5a3f434f399f8458d1bfe3,Change theme button,,dav,2021-10-26 17:43:18,,"server/fishtest/static/css/application.css,server/fishtest/static/css/theme.dark.css,server/fishtest/templates/base.mak",,,,,True
Commit,8d9821a17d02e6e7e23a341fa647ab7ee3b4ce11,"reorder links

and add a few more",,Joost VandeVondele,2021-10-24 15:44:23,,"server/fishtest/static/css/application.css,server/fishtest/templates/base.mak",,,,,True
Commit,efa61e73d3df16ea57749f970110a31df1557e97,Raise worker version to 121 (also server side),,ppigazzini,2021-10-24 13:31:06,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,c5e0de5892edb27a1dff380b0884461b04f383ac,"Set the reference Nps using Stockfish 11 as base

Fishtest with Stockfish 11 had 1.6MNps as reference Nps and 0.7MNps as
threshold for the slow worker.
Set the new reference Nps according to the average 20% slowdown.
Set the new threshold for slow worker according to the 27% slowdown.

- arch=bmi2 (Dual Xeon workstation)
```
base =    1729936 +/- 9448
test =    1381212 +/- 8223
diff =    -348723 +/- 6159
speedup = -0.201582
```
- arch=bmi2 (Xeon server)
```
base =    1377734 +/- 14202
test =    1151238 +/- 9600
diff =    -226496 +/- 20606
speedup = -0.164398
```
- arch=modern (core i7 3770k)
```
base =    1967470 +/- 12952
test =    1435152 +/- 5597
diff =    -532318 +/- 8311
speedup = -0.270560
```

Other fixes

Load the CPU before bench (fix an 8% Nps overestimation with high concurrency).

Account the slowdown due to the concurrency to set the slow worker threashold.

Drop unused function parameter.",,ppigazzini,2021-10-24 12:26:33,,"server/fishtest/views.py,server/utils/delta_update_users.py,worker/games.py",,,,,True
Commit,92a4b6392313ea15c8ea963817e937a8cd22ceca,Flush print,,ppigazzini,2021-10-24 09:05:28,,worker/games.py,,,,,True
Commit,06ac339e08b977ad900cef56d832f396d67e26bb,Raise worker version to 120 (also server side),,ppigazzini,2021-10-24 08:59:29,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,12fc34c775050b7ab2f6da049319db585767533e,"Fix very rare problems in parse_cutechess_ouput()

Fix race condition using `while: else:`
Use UTC for time keeping
Flush also the print() calls in kill_process()",,ppigazzini,2021-10-23 16:01:49,,worker/games.py,,,,,True
Commit,9af3dc71cb0991f7ea13336403262f8e19e809e0,Give cutechess-cli a bit of time to finish normally.,,Michel Van den Bergh,2021-10-24 06:32:42,,worker/games.py,,,,,True
